userId,movieId,rating,timestamp
1,1219,2.0,964983393
1,1222,5.0,964981909
1,1278,5.0,964983414
1,1282,5.0,964982703
1,1298,5.0,964984086
1,1920,4.0,964981780
1,1954,5.0,964982176
1,2090,5.0,964982838
1,2427,5.0,964982242
1,2617,2.0,964982588
1,2797,4.0,964981710
1,2987,5.0,964982495
1,3033,5.0,964983762
1,3034,5.0,964982791
1,3450,5.0,964981144
1,3527,4.0,964982271
2,58559,4.5,1445715141
2,131724,5.0,1445714851
3,849,5.0,1306463611
3,2090,0.5,1306464261
3,6238,0.5,1306464204
3,7899,4.5,1306464036
4,215,5.0,945079078
4,538,5.0,945078636
4,599,2.0,945078587
4,708,4.0,986935230
4,899,4.0,945079653
4,937,3.0,986849085
4,1086,5.0,964539723
4,1219,4.0,964539961
4,1282,5.0,945079653
4,1466,4.0,945173492
4,1834,5.0,945174134
4,2076,4.0,945079052
4,2351,4.0,945078467
4,3033,4.0,986936200
4,3083,5.0,964622487
4,3358,3.0,964622758
4,3365,5.0,964538329
4,4121,4.0,986934901
4,4252,3.0,1007569465
4,4260,2.0,1007569424
4,4273,4.0,1007574470
4,4308,1.0,1007569465
4,4765,5.0,1007569445
5,34,4.0,847434881
5,300,3.0,847435337
5,410,3.0,847435292
6,2,4.0,845553522
6,34,4.0,845553354
6,54,4.0,845555402
6,61,4.0,845555454
6,62,4.0,845553660
6,186,3.0,845553619
6,208,3.0,845553253
6,224,3.0,845553794
6,234,2.0,845554176
6,237,4.0,845553875
6,239,3.0,845554987
6,251,3.0,845556257
6,270,3.0,845555172
6,274,4.0,845555151
6,279,3.0,845555436
6,292,4.0,845553253
6,352,3.0,845555382
6,354,4.0,845555402
6,359,3.0,845556412
6,360,3.0,845555094
6,410,3.0,845553354
6,432,5.0,845553489
6,437,3.0,845554505
6,458,3.0,845555546
6,466,2.0,845553844
6,491,4.0,845554141
6,575,3.0,845555070
6,694,3.0,845555694
6,708,4.0,845554376
6,880,3.0,845556181
6,1006,4.0,845556694
7,466,5.0,1106635532
7,1219,5.0,1106635496
7,1584,5.0,1106635423
7,1954,4.5,1106635657
7,4370,4.5,1106712869
7,5218,3.5,1106712866
7,5618,5.0,1106713586
7,5816,4.5,1106635705
7,5952,4.5,1106636527
7,7153,4.0,1106636520
7,8783,1.0,1161738306
7,37741,3.5,1162163504
7,45668,1.0,1159225196
7,45730,0.5,1161738279
8,2,4.0,839463806
8,34,5.0,839463546
8,186,4.0,839463856
8,208,3.0,839463509
8,292,3.0,839463489
8,432,1.0,839463702
9,2023,3.0,1044656650
9,5218,4.0,1044656811
9,5841,1.0,1044657318
9,5890,4.0,1044656792
9,5952,5.0,1044656908
9,6044,2.0,1044657285
10,5952,4.0,1455356588
10,7153,4.0,1455356347
10,8969,3.5,1455302697
10,40629,3.0,1455356796
10,41285,2.5,1455301854
10,58559,4.5,1455302113
10,91104,3.0,1455356990
10,95543,3.5,1455399376
