movieId,title,genres,imdbId,tmdbId,id,poster_path,poster_url
2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0,8844.0,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,https://image.tmdb.org/t/p/w200/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845,11517.0,11517.0,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,https://image.tmdb.org/t/p/w200/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg
34,Babe (1995),Children|Drama,112431,9598.0,9598.0,/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,https://image.tmdb.org/t/p/w200/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg
54,"Big Green, The (1995)",Children|Comedy,112499,26441.0,26441.0,/erWfSEcjO4LG69Tlm2mED5JMSqH.jpg,https://image.tmdb.org/t/p/w200/erWfSEcjO4LG69Tlm2mED5JMSqH.jpg
57,Home for the Holidays (1995),Drama,113321,9089.0,9089.0,/97EKLaslQ4gzkvALtqGCDOmsGHk.jpg,https://image.tmdb.org/t/p/w200/97EKLaslQ4gzkvALtqGCDOmsGHk.jpg
61,Eye for an Eye (1996),Drama|Thriller,116260,17182.0,17182.0,/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,https://image.tmdb.org/t/p/w200/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg
62,Mr. Holland's Opus (1995),Drama,113862,2054.0,2054.0,/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg,https://image.tmdb.org/t/p/w200/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg
186,Nine Months (1995),Comedy|Romance,113986,11472.0,11472.0,/aYavA2TOqpWVcxQZ31mMlYKqoFM.jpg,https://image.tmdb.org/t/p/w200/aYavA2TOqpWVcxQZ31mMlYKqoFM.jpg
208,Waterworld (1995),Action|Adventure|Sci-Fi,114898,9804.0,9804.0,/yordVJcPLh3VNRL7bXzFIBEhXRr.jpg,https://image.tmdb.org/t/p/w200/yordVJcPLh3VNRL7bXzFIBEhXRr.jpg
215,Before Sunrise (1995),Drama|Romance,112471,76.0,76.0,/jsQy4ZbPHA8hE2O6QU05PpofI61.jpg,https://image.tmdb.org/t/p/w200/jsQy4ZbPHA8hE2O6QU05PpofI61.jpg
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,112883,1909.0,1909.0,/fe0TuYz9jCKUba2Omj48K8bWJ8z.jpg,https://image.tmdb.org/t/p/w200/fe0TuYz9jCKUba2Omj48K8bWJ8z.jpg
234,Exit to Eden (1994),Comedy,109758,18395.0,18395.0,/9oIEKFVPhgVEzbcbRPDXCdkUgRN.jpg,https://image.tmdb.org/t/p/w200/9oIEKFVPhgVEzbcbRPDXCdkUgRN.jpg
237,Forget Paris (1995),Comedy|Romance,113097,10525.0,10525.0,/l8lq77bNqJY94JCMPI731jwtDsE.jpg,https://image.tmdb.org/t/p/w200/l8lq77bNqJY94JCMPI731jwtDsE.jpg
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,113198,15789.0,15789.0,/bycmMhO3iIoEDzP768sUjq2RV4T.jpg,https://image.tmdb.org/t/p/w200/bycmMhO3iIoEDzP768sUjq2RV4T.jpg
249,Immortal Beloved (1994),Drama|Romance,110116,13701.0,13701.0,/meRFVzGpBJiObWfdtOoNr0UPsP4.jpg,https://image.tmdb.org/t/p/w200/meRFVzGpBJiObWfdtOoNr0UPsP4.jpg
251,"Hunted, The (1995)",Action,113360,32631.0,32631.0,/llu5wgQGYyMVDnz4p8ds8Um3lUa.jpg,https://image.tmdb.org/t/p/w200/llu5wgQGYyMVDnz4p8ds8Um3lUa.jpg
270,Love Affair (1994),Drama|Romance,110391,43742.0,43742.0,/mQMCPf0GUaOjKYFTdmL8w8udnJX.jpg,https://image.tmdb.org/t/p/w200/mQMCPf0GUaOjKYFTdmL8w8udnJX.jpg
272,"Madness of King George, The (1994)",Comedy|Drama,110428,11318.0,11318.0,/Apgj4j73aUyMkNaPoSuQ7DJbt1M.jpg,https://image.tmdb.org/t/p/w200/Apgj4j73aUyMkNaPoSuQ7DJbt1M.jpg
